pizzanev	darab	felvetel	kiszallitas
Pástétomos	3	2005.11.18 3:49:00	2005.11.18 4:50:00
Hellas	2	2005.11.18 4:28:00	2005.11.18 5:42:00
Spencer	1	2005.11.18 5:06:00	2005.11.18 7:24:00
Mixi	1	2005.11.18 5:18:00	2005.11.18 6:03:00
Gyros pizza	1	2005.11.18 5:24:00	2005.11.18 8:36:00
Betyáros	1	2005.11.18 6:21:00	2005.11.18 7:56:00
Sajtos	3	2005.11.18 7:13:00	2005.11.18 8:51:00
Pástétomos	1	2005.11.18 7:54:00	2005.11.18 8:58:00
Röfi	3	2005.11.18 8:37:00	2005.11.18 11:02:00
Csupa sajt	1	2005.11.18 8:43:00	2005.11.18 11:37:00
Gyros pizza	1	2005.11.18 9:04:00	2005.11.18 10:31:00
Caribi	1	2005.11.18 9:59:00	2005.11.18 12:18:00
Excellent	3	2005.11.18 9:59:00	2005.11.18 13:05:00
Hellas	2	2005.11.18 10:44:00	2005.11.18 12:08:00
Country	1	2005.11.18 11:23:00	2005.11.18 12:27:00
Magyaros	2	2005.11.18 12:19:00	2005.11.18 14:10:00
Pipis	3	2005.11.18 13:04:00	2005.11.18 13:54:00
Röfi	2	2005.11.18 13:27:00	2005.11.18 14:14:00
Nordic	3	2005.11.18 13:54:00	2005.11.18 15:56:00
Király pizza	1	2005.11.18 14:29:00	2005.11.18 15:47:00
Csupa sajt	3	2005.11.18 15:26:00	2005.11.18 17:02:00
Maffiózó	2	2005.11.18 15:50:00	2005.11.18 17:12:00
Pacalos	2	2005.11.18 15:52:00	2005.11.18 16:26:00
Röfi	2	2005.11.18 16:23:00	2005.11.18 18:06:00
Vega	1	2005.11.18 17:13:00	2005.11.18 19:50:00
Góré	3	2005.11.18 17:20:00	2005.11.18 18:32:00
Gombás	1	2005.11.18 17:56:00	2005.11.18 18:24:00
Kolbászos	3	2005.11.18 18:22:00	2005.11.18 19:55:00
Spencer	2	2005.11.18 18:24:00	2005.11.18 20:00:00
Mamma fia	1	2005.11.18 19:02:00	2005.11.18 22:06:00
Sajtos	1	2005.11.18 19:18:00	2005.11.18 21:21:00
Szalámis	1	2005.11.18 19:57:00	2005.11.18 20:57:00
Rettenetes magyar	1	2005.11.18 20:39:00	2005.11.18 22:55:00
Ínyenc	1	2005.11.18 20:44:00	2005.11.18 23:01:00
Füstös	2	2005.11.18 21:09:00	2005.11.18 23:52:00
Vega	1	2005.11.18 21:31:00	2005.11.19 0:27:00
Hamm	2	2005.11.18 22:27:00	2005.11.19 0:23:00
Nyuszó-Muszó	1	2005.11.18 23:08:00	2005.11.19 1:53:00
Törperős	1	2005.11.18 23:55:00	2005.11.19 1:31:00
Pástétomos	1	2005.11.19 0:42:00	2005.11.19 3:36:00
Erős János	1	2005.11.19 1:14:00	2005.11.19 1:45:00
Spanyol	1	2005.11.19 1:29:00	2005.11.19 4:40:00
Caribi	1	2005.11.19 1:49:00	2005.11.19 3:51:00
So-ku	1	2005.11.19 2:15:00	2005.11.19 3:30:00
Lagúna	1	2005.11.19 2:39:00	2005.11.19 4:26:00
Pástétomos	1	2005.11.19 3:20:00	2005.11.19 4:52:00
Spencer	3	2005.11.19 3:46:00	2005.11.19 4:50:00
Gino	3	2005.11.19 4:40:00	2005.11.19 5:03:00
So-ku	1	2005.11.19 4:45:00	2005.11.19 5:59:00
Tündi kedvence	2	2005.11.19 5:32:00	2005.11.19 6:06:00
Tonhalas	1	2005.11.19 6:05:00	2005.11.19 6:32:00
Tonhalas	1	2005.11.19 6:35:00	2005.11.19 7:44:00
Popey	3	2005.11.19 7:28:00	2005.11.19 8:23:00
Pacalos	1	2005.11.19 8:02:00	2005.11.19 10:16:00
Mexikói	2	2005.11.19 8:37:00	2005.11.19 10:14:00
Szardíniás	1	2005.11.19 9:00:00	2005.11.19 10:05:00
Son-go-ku	1	2005.11.19 9:53:00	2005.11.19 12:20:00
Kívánság	1	2005.11.19 10:28:00	2005.11.19 12:48:00
Hercegnő	1	2005.11.19 11:01:00	2005.11.19 11:42:00
Máj Fair Lady	1	2005.11.19 11:33:00	2005.11.19 14:44:00
Gino	1	2005.11.19 11:42:00	2005.11.19 14:42:00
Spanyol	1	2005.11.19 12:39:00	2005.11.19 13:27:00
Törperős	3	2005.11.19 13:07:00	2005.11.19 14:27:00
Hercegnő	2	2005.11.19 13:23:00	2005.11.19 16:04:00
Szerzetes	1	2005.11.19 14:09:00	2005.11.19 14:53:00
Kagylós	1	2005.11.19 15:01:00	2005.11.19 15:37:00
Quattro	2	2005.11.19 15:34:00	2005.11.19 17:07:00
Vega	3	2005.11.19 16:01:00	2005.11.19 16:54:00
Csabesz	1	2005.11.19 16:12:00	2005.11.19 16:51:00
Ráki	1	2005.11.19 16:45:00	2005.11.19 19:15:00
Francia	3	2005.11.19 17:05:00	2005.11.19 17:34:00
Szardíniás	1	2005.11.19 17:08:00	2005.11.19 18:53:00
Gombás	1	2005.11.19 17:46:00	2005.11.19 18:52:00
Pástétomos	2	2005.11.19 18:27:00	2005.11.19 19:31:00
Pásztor	3	2005.11.19 19:14:00	2005.11.19 21:57:00
Máj Fair Lady	3	2005.11.19 20:03:00	2005.11.19 22:17:00
Szalámis	1	2005.11.19 20:36:00	2005.11.19 23:27:00
Mixi	1	2005.11.19 21:05:00	2005.11.19 22:15:00
Lecsó	1	2005.11.19 21:06:00	2005.11.20 0:11:00
Spanyol	1	2005.11.19 21:22:00	2005.11.19 23:05:00
Kiadós	1	2005.11.19 21:59:00	2005.11.19 23:32:00
Francia	2	2005.11.19 22:38:00	2005.11.20 1:01:00
Szőke kapitány	3	2005.11.19 23:24:00	2005.11.20 2:03:00
Gino	1	2005.11.20 0:03:00	2005.11.20 2:01:00
Kívánság	1	2005.11.20 0:42:00	2005.11.20 2:33:00
Babos	1	2005.11.20 0:54:00	2005.11.20 2:59:00
Caribi	1	2005.11.20 0:57:00	2005.11.20 3:55:00
Gino	1	2005.11.20 1:01:00	2005.11.20 3:32:00
Jobbágy	1	2005.11.20 1:12:00	2005.11.20 3:49:00
Frankfurti	1	2005.11.20 1:42:00	2005.11.20 2:40:00
Caribi	1	2005.11.20 2:25:00	2005.11.20 3:21:00
Pástétomos	1	2005.11.20 3:12:00	2005.11.20 5:03:00
Babos	1	2005.11.20 3:45:00	2005.11.20 5:10:00
Kívánság	1	2005.11.20 4:26:00	2005.11.20 6:29:00
Pipis	1	2005.11.20 4:46:00	2005.11.20 7:43:00
Gombás	2	2005.11.20 4:49:00	2005.11.20 7:04:00
Csupa sajt	1	2005.11.20 5:12:00	2005.11.20 7:43:00
Hawaii	2	2005.11.20 5:20:00	2005.11.20 6:14:00
Áfonyás	1	2005.11.20 5:21:00	2005.11.20 8:33:00
Tündi kedvence	1	2005.11.20 6:11:00	2005.11.20 8:32:00
Király pizza	1	2005.11.20 6:48:00	2005.11.20 8:55:00
Mamma fia	1	2005.11.20 7:15:00	2005.11.20 8:23:00
Lagúna	3	2005.11.20 7:25:00	2005.11.20 8:52:00
Kagylós	2	2005.11.20 7:38:00	2005.11.20 9:05:00
Kolbászos	1	2005.11.20 8:20:00	2005.11.20 10:55:00
Quattro	1	2005.11.20 8:30:00	2005.11.20 9:43:00
Törperős	1	2005.11.20 8:53:00	2005.11.20 11:49:00
Kétszínű	1	2005.11.20 9:00:00	2005.11.20 11:51:00
Csabesz	1	2005.11.20 9:21:00	2005.11.20 10:06:00
Görög	1	2005.11.20 9:42:00	2005.11.20 11:44:00
Popey	1	2005.11.20 10:39:00	2005.11.20 13:31:00
Hamm	1	2005.11.20 11:12:00	2005.11.20 14:15:00
Hellas	3	2005.11.20 11:58:00	2005.11.20 14:28:00
Zöldike	1	2005.11.20 12:17:00	2005.11.20 14:06:00
Kívánság	1	2005.11.20 13:11:00	2005.11.20 14:51:00
Lagúna	1	2005.11.20 13:49:00	2005.11.20 15:16:00
Hawaii	1	2005.11.20 14:42:00	2005.11.20 17:46:00
Tenger gyümölcsei	3	2005.11.20 15:33:00	2005.11.20 16:15:00
Jobbágy	1	2005.11.20 15:47:00	2005.11.20 16:24:00
Mexikói	1	2005.11.20 16:43:00	2005.11.20 17:50:00
Kolbászos	1	2005.11.20 17:21:00	2005.11.20 19:39:00
Babos	1	2005.11.20 17:24:00	2005.11.20 20:08:00
Ínyenc	1	2005.11.20 17:58:00	2005.11.20 18:47:00
Szalámis	1	2005.11.20 18:27:00	2005.11.20 21:20:00
Nikó	1	2005.11.20 19:19:00	2005.11.20 20:16:00
Zöldike	1	2005.11.20 20:00:00	2005.11.20 21:47:00
Tenger gyümölcsei	1	2005.11.20 20:37:00	2005.11.20 23:04:00
Ráki	1	2005.11.20 21:09:00	2005.11.20 23:48:00
Frankfurti	1	2005.11.20 21:25:00	2005.11.21 0:21:00
Nikó	1	2005.11.20 22:12:00	2005.11.21 0:35:00
Szerzetes	1	2005.11.20 22:34:00	2005.11.21 0:49:00
Áfonyás	2	2005.11.20 22:43:00	2005.11.21 0:32:00
Francia	2	2005.11.20 23:39:00	2005.11.21 1:41:00
Popey	1	2005.11.21 0:24:00	2005.11.21 1:26:00
Lagúna	1	2005.11.21 1:14:00	2005.11.21 2:12:00
Hercegnő	1	2005.11.21 1:42:00	2005.11.21 3:11:00
Hercegnő	2	2005.11.21 1:58:00	2005.11.21 4:06:00
Hellas	1	2005.11.21 2:51:00	2005.11.21 5:18:00
Király pizza	1	2005.11.21 3:08:00	2005.11.21 5:59:00
